eatery_id,name,location,operating_hours
84,"Graham, Coleman and Morales","11136 Shannon Bypass, Maryfort, NJ 86528",9 AM - 7 PM
85,Reed LLC,"3962 Raymond Ford Apt. 970, North Janicemouth, PA 84558",7 AM - 11 PM
86,"Barnes, Dougherty and Wright","45847 Shawn Gateway Apt. 127, Willieberg, NH 29823",6 AM - 11 PM
87,Hernandez-Spencer,"27659 Jensen Rapids Apt. 436, Lake Aaronbury, MA 24616",10 AM - 9 PM
88,"Richardson, King and Reed","080 Tina Haven Suite 631, South Amyhaven, HI 03757",10 AM - 10 PM
89,Adkins-Morton,"92136 Karen Mission Suite 601, East Tony, MT 83944",6 AM - 8 PM
90,"Lucas, Higgins and Bradshaw","0757 Savannah Ports Apt. 891, Masonburgh, ID 94164",9 AM - 10 PM
91,White-Blackwell,"454 Aguirre Skyway, North Phillip, DC 93947",9 AM - 7 PM
92,Holt-Davis,"205 Anthony Trail, West Robertport, DE 12907",7 AM - 7 PM
93,Skinner LLC,"438 Joseph Inlet, Port Heather, WA 82046",7 AM - 11 PM
94,"Benson, Francis and Jordan","627 Richard Ford, Port Brookeshire, CO 71306",8 AM - 8 PM
95,Lara-Holloway,"624 Sharp Road Apt. 782, Hensonside, TX 10419",10 AM - 8 PM
96,Perry LLC,"76178 Vanessa Ports Apt. 469, West Aaron, GU 27305",10 AM - 10 PM
97,Reyes LLC,"4834 Sean Summit Suite 833, Matthewmouth, PR 46607",9 AM - 10 PM
98,Smith-Steele,"51288 Blake Hollow, Claytonside, VI 38009",10 AM - 8 PM
99,Rose-Beard,"736 Michael Spring, Johnsonmouth, KS 57627",8 AM - 8 PM
100,Douglas Ltd,"7040 Kayla Rapid Apt. 890, Port Mary, WI 77741",8 AM - 9 PM
101,Green-Coleman,"97783 Maria Square, North Karen, AK 92646",8 AM - 10 PM
102,Liu-Hines,"18567 Wall Villages, Weavermouth, NM 12184",7 AM - 10 PM
103,Scott-Perkins,"78241 Moore Plains Apt. 635, Lake Miguelland, DE 56099",6 AM - 9 PM
104,Skinner and Sons,"0382 Graham Plain Suite 395, Shawborough, NM 98751",9 AM - 7 PM
105,Powell Ltd,"50998 Bethany Islands, Port David, AK 36153",9 AM - 9 PM
106,"Marquez, Morris and King","66705 Tonya Street, Patrickton, ME 74958",7 AM - 10 PM
107,Alexander-Herrera,"37306 Sierra Vista, North Davidfurt, DC 63588",9 AM - 9 PM
108,"Pena, Black and Wagner","217 Kristi Corners Apt. 483, West Johnmouth, WA 18408",8 AM - 10 PM
109,"Brown, Henry and Camacho","195 Leonard Row Suite 268, East Brianmouth, OK 86558",8 AM - 7 PM
110,Mcgee-Rice,"90076 Corey Park, Gomezburgh, KY 68690",7 AM - 7 PM
111,"Harris, Hall and Walter","PSC 5241, Box 4224, APO AP 86572",10 AM - 9 PM
112,Gaines and Sons,"017 Lisa Canyon, West Lindsayfort, DE 93912",7 AM - 11 PM
113,Macdonald PLC,"8594 Blake Fords, Adamsberg, OK 59689",6 AM - 11 PM
114,"Johnson, Rodriguez and Gibbs","62301 Melissa Cliff Suite 158, East Andre, GU 52341",10 AM - 7 PM
115,Cummings Ltd,"218 Charles Common, South Sarahton, HI 64655",8 AM - 9 PM
116,"Richmond, Nelson and Butler","908 Jennifer Square, Hillview, WV 91801",8 AM - 10 PM
117,Brooks LLC,"03016 White Island, Danielton, HI 97950",10 AM - 10 PM
118,"Escobar, Downs and Morrison","Unit 6684 Box 5015, DPO AE 09530",8 AM - 7 PM
119,Rose Group,"732 Smith Trail Suite 827, Snyderton, IN 53821",6 AM - 10 PM
120,Martinez Group,"8114 Hayes Place Apt. 627, Galvanview, RI 35027",7 AM - 7 PM
121,Jenkins-Spencer,"3575 Brittany Streets Apt. 622, Lisaport, PA 79078",10 AM - 10 PM
122,Mendez-Wagner,"14189 Ronald Mountain, New Shirleyland, KS 44170",8 AM - 11 PM
123,Murphy-Wyatt,"USS Carter, FPO AE 54582",8 AM - 11 PM
124,"Campbell, Orr and Parrish","PSC 4316, Box 2729, APO AP 75876",7 AM - 8 PM
125,Smith-Welch,"975 Griffin Ports Suite 482, North Elizabethport, SC 28424",9 AM - 7 PM
126,"Reid, Jones and Allen","861 Dickerson Keys Apt. 147, Joneshaven, LA 15513",7 AM - 8 PM
127,Nielsen-Jackson,"6438 Baldwin Junction, West Robertoville, WI 94212",10 AM - 10 PM
128,Cruz-Warren,"108 Jennifer Mountain, Katherinemouth, ID 72205",10 AM - 9 PM
129,Hanna PLC,"129 Nash Ville, Lake Jared, AS 63847",10 AM - 9 PM
130,Page-Erickson,"114 Bruce Orchard Suite 867, North Patricia, NJ 33497",9 AM - 10 PM
131,Jones-Long,"23400 Jessica Rest, Russellside, AZ 50040",9 AM - 9 PM
132,Jones-Gonzales,"4733 Robles Valleys, Gonzalesmouth, OK 15632",7 AM - 8 PM
133,"Brown, Clark and Scott","582 Hebert Fork Apt. 327, South Wendyville, FL 06504",7 AM - 8 PM
134,Ward PLC,"761 Kelli Orchard Suite 019, South Ashley, NY 66489",8 AM - 10 PM
135,Leach-Lambert,"493 Kelly Camp Suite 757, South Alexistown, FM 77981",6 AM - 7 PM
136,Valenzuela-Brown,"5406 Stephen Glens Suite 206, Whitehaven, WA 22420",10 AM - 8 PM
137,"Coleman, Baker and Avila","674 Soto Parkways Apt. 369, West James, FL 93542",8 AM - 7 PM
138,Guzman-Wilson,"3590 Simon Isle, Robertshire, MN 68361",9 AM - 9 PM
139,Norman LLC,"67078 Sheppard Common, North Jessica, MH 29415",10 AM - 9 PM
140,Jefferson-Thomas,"317 Matthew Ridges, Lake Katherine, OH 74638",9 AM - 7 PM
141,Johnson Ltd,"002 Carolyn Parkways, Woodville, NC 43513",8 AM - 8 PM
142,"Murphy, Chavez and Singleton","1984 Mccarty Rapids Apt. 064, East Christina, UT 04834",6 AM - 7 PM
143,Trujillo-Gardner,"8360 David Manor, Ramirezbury, NY 82221",10 AM - 8 PM
144,Gallegos Ltd,"USCGC Daniels, FPO AA 65516",6 AM - 9 PM
145,"Hurst, West and Jennings","719 Reese Squares, Whiteville, NJ 38643",10 AM - 11 PM
146,Craig-Snyder,"518 Corey Keys Suite 102, Lauraland, GU 92951",8 AM - 8 PM
147,"Brown, Aguirre and Thomas","1346 Kendra Points, Cherryberg, FM 27851",7 AM - 8 PM
148,"Fry, Riley and Bennett","1250 Schwartz Gardens, Kaufmanshire, MS 49960",8 AM - 7 PM
149,"Johnson, Horne and Wilson","1495 Mack Cliffs, New Victoria, SD 85964",7 AM - 11 PM
150,Price PLC,"1794 Jones Junctions, Mccarthyfort, IL 37601",7 AM - 7 PM
151,"Hernandez, Hall and Elliott","660 Jackson Locks, Lake Kelseychester, AS 24411",8 AM - 7 PM
152,Miller-Schaefer,"90893 Long Tunnel Suite 522, New Patriciaton, MO 76599",10 AM - 11 PM
153,Ryan-Beasley,"PSC 9977, Box 6249, APO AP 42511",9 AM - 11 PM
154,Osborne-Wells,"USNV Johnson, FPO AE 06815",6 AM - 7 PM
155,"Khan, Mckinney and Patel","03733 Kline Well Suite 032, South Valerie, NH 38439",7 AM - 10 PM
156,"Turner, Barnes and Andrade","54436 Hoffman Lights Suite 715, West Mary, CO 39841",8 AM - 8 PM
157,"Conley, Barton and Fischer","5156 Clark Crossing Apt. 459, Christinaberg, MN 71320",10 AM - 11 PM
158,Foster LLC,"41904 Long Junctions Suite 719, Susanland, WI 05536",8 AM - 8 PM
159,Knight-Mills,"31549 Ross Island, Garzaview, IL 03321",7 AM - 8 PM
160,Glover and Sons,"0603 Joseph Skyway Apt. 957, Lake Bianca, CT 35087",7 AM - 8 PM
161,Murphy Inc,"91427 Wang Passage, Port Eric, AS 55607",7 AM - 7 PM
162,Gonzalez LLC,"USNS Torres, FPO AE 26990",8 AM - 7 PM
163,Johnson LLC,"3085 Brown Road, Cassandramouth, OK 88251",6 AM - 7 PM
164,Fuentes-Horn,"68004 Miller Tunnel, Kennedyfurt, WY 66098",7 AM - 9 PM
165,Preston-Patel,"PSC 5724, Box 1941, APO AP 98449",7 AM - 9 PM
166,Oconnor-Rangel,"51389 Joseph Manors, Toddton, CA 71076",7 AM - 9 PM
167,Bridges Inc,"USNV Jones, FPO AP 04355",8 AM - 11 PM
168,Thompson-Carter,"35626 Durham Isle, New Allison, WY 00796",7 AM - 10 PM
169,Johnson-Reynolds,"57437 Martin Union Suite 976, Sarahberg, IN 14195",6 AM - 7 PM
170,Coffey Ltd,"PSC 6424, Box 2598, APO AE 70824",10 AM - 9 PM
171,Martin-Nichols,"73991 Christopher Rapid Apt. 949, West David, DC 81601",8 AM - 7 PM
172,Price LLC,"627 Garcia Oval Apt. 162, Rogerstown, RI 57906",9 AM - 10 PM
173,Chavez Group,"363 Lisa Circle, South Carrieville, WA 72247",8 AM - 9 PM
174,Cox Ltd,"08530 Wong Drives, Khanberg, WV 30279",6 AM - 10 PM
175,"Ritter, Johnson and Morales","106 Sweeney Knolls Apt. 034, Robinsontown, AS 89423",6 AM - 11 PM
176,"Davis, Adams and Montgomery","98546 Ramirez Forest, Fishermouth, SC 48393",7 AM - 7 PM
177,Luna-Acosta,"403 Christopher Expressway, Kimberlyville, KY 73596",10 AM - 11 PM
178,"Goodman, Reyes and Beck","872 Moreno Loop, Rachelport, NH 62540",6 AM - 9 PM
179,"Barber, Bryan and Young","816 Charles Radial, Reyesport, MP 84300",10 AM - 8 PM
180,"Oliver, Howard and Allen","286 Delacruz Crest Suite 290, East Chadside, PA 66483",6 AM - 9 PM
181,Watson-Preston,"PSC 0480, Box 9356, APO AE 72965",6 AM - 9 PM
182,French-Snow,"37801 Jesus Loop, Torresmouth, AS 71540",8 AM - 7 PM
183,Stewart-Ramirez,"061 Crawford Bypass, Emilyfurt, DC 91881",6 AM - 8 PM
184,Zuniga Inc,"953 Christine Manor, Kristachester, NC 79119",6 AM - 7 PM
185,"Roberts, Clark and Carr","4228 Mary Forge Suite 313, Stephensstad, OR 11636",8 AM - 11 PM
186,"Green, Dillon and Casey","USCGC Mitchell, FPO AP 57150",9 AM - 8 PM
187,Castro LLC,"1346 Spencer Causeway, South Sandrachester, ID 95050",8 AM - 10 PM
188,Nichols and Sons,"626 Troy Ranch Apt. 467, Lindseyfort, TX 26037",9 AM - 9 PM
189,Gray Inc,"0474 Townsend Freeway, North Eric, TN 54815",10 AM - 9 PM
190,Hernandez PLC,"196 Gutierrez Street Apt. 237, Heathershire, TX 58907",6 AM - 10 PM
191,Hamilton LLC,"3530 Ryan Corner Apt. 936, Ayalaton, MD 42467",10 AM - 7 PM
192,Campos-Ware,"073 Dakota Port, South Emily, RI 51993",6 AM - 8 PM
193,"Irwin, Bolton and Lyons","4203 Randy Radial Suite 422, North Marvin, NV 03842",7 AM - 11 PM
194,Thompson Inc,"546 Graham Ridge, Yatestown, SC 32069",10 AM - 9 PM
195,Hawkins-Bowen,"870 Mckenzie Plains Apt. 731, Sarahmouth, IA 29332",9 AM - 7 PM
196,"Sims, Taylor and Jones","06814 Eric Manor, Smithborough, WA 78088",7 AM - 10 PM
197,Williams and Sons,"14441 Julie River, New Scott, KS 87690",9 AM - 10 PM
198,"Wood, Jackson and Richard","989 James Court, Jamesfurt, AL 63461",9 AM - 7 PM
199,"Ellis, Townsend and Carrillo","58978 Daryl Garden, Burkeberg, IA 01649",9 AM - 7 PM
200,Hampton-Mercado,"22574 Brian Course, Diazhaven, OH 68990",7 AM - 7 PM
201,Mills Group,"817 David Port Apt. 271, Rittermouth, FM 26525",7 AM - 10 PM
202,Dillon-Gomez,"159 Waller Tunnel Suite 042, New Fernandohaven, CA 77077",8 AM - 10 PM
203,Miller PLC,"680 Baker Creek Apt. 369, West Belinda, IN 72611",9 AM - 7 PM
204,"Wood, Klein and Carter","078 Shawna Flats Apt. 428, Christopherborough, NE 16761",6 AM - 8 PM
205,"West, White and Sweeney","01226 White Crescent, Lake Darrylfurt, KY 75439",7 AM - 7 PM
206,Vang-Zimmerman,"728 Misty Place, Burkeburgh, MT 30205",10 AM - 11 PM
207,"Smith, Newman and Garcia","85290 Fowler Ports, Brianberg, VT 95365",6 AM - 10 PM
208,Hays-Davis,"7616 Antonio Street Apt. 837, Englishfurt, TX 88126",10 AM - 9 PM
209,Francis-Griffin,"212 Patel Stream, New Courtneytown, MP 13917",10 AM - 11 PM
210,Morton-Camacho,"03325 Barnes Underpass Apt. 430, West Jaredmouth, MP 65015",7 AM - 9 PM
211,Garner Ltd,"84600 Jimmy Centers, Crystalstad, IA 26951",10 AM - 8 PM
212,"Ponce, Olson and Wall","1005 Jose Pike Apt. 986, Jasonmouth, MN 38953",6 AM - 10 PM
213,Chambers-Ramirez,"122 Brown Harbor, Lancemouth, PA 60550",7 AM - 8 PM
214,Phelps Inc,"968 Tiffany Roads Suite 021, Port Kerri, NV 98030",7 AM - 11 PM
215,Patrick and Sons,"3287 Peters River, Brianastad, NH 28019",10 AM - 11 PM
216,"Duran, Brooks and Vega","74943 Keller Fields Suite 881, Lorifort, MT 23907",6 AM - 7 PM
217,Noble-Becker,"734 Luna Road Apt. 674, Johnview, NC 55344",7 AM - 11 PM
218,Hughes Inc,"372 Bradley Alley, Deborahchester, MH 29515",6 AM - 10 PM
219,"Parrish, Luna and Holmes","760 Yvonne Ports Apt. 858, Port Shannonfurt, DE 47802",10 AM - 8 PM
220,Roth Ltd,"388 Miller Bypass, West Robert, HI 08876",7 AM - 11 PM
221,"Dunlap, Munoz and Atkinson","6356 Macias Village Suite 345, Tommyshire, WV 78160",6 AM - 11 PM
222,Valenzuela and Sons,"7935 Walsh Land Apt. 360, North Sarahport, ND 75879",10 AM - 10 PM
223,Paul-Davis,"39541 Patrick Pike Apt. 083, Port Jacobmouth, HI 41626",6 AM - 8 PM
224,Garcia LLC,"756 Graves Points, Amandaburgh, DE 64777",7 AM - 9 PM
225,Daniels-Salazar,"0212 Casey Mews, New Duanetown, NE 09843",10 AM - 8 PM
226,"Jones, Grant and Smith","37142 Sarah Avenue Apt. 854, Port James, IA 80522",6 AM - 7 PM
227,Johnson LLC,"219 Garcia Port Apt. 310, Port Melissabury, WY 57814",6 AM - 11 PM
228,Lewis Inc,"7982 Vasquez Light Suite 812, New Richardstad, NC 75083",9 AM - 7 PM
229,"Montgomery, Butler and Gomez","7300 Bentley Forest Suite 423, Ericafurt, MP 93974",10 AM - 11 PM
230,May-Alvarado,"5949 Evan Squares, North Bradleyburgh, AL 79666",8 AM - 10 PM
231,"Harris, Ramos and Barnes","542 Kane Shore, Phillipville, MP 16173",9 AM - 11 PM
232,Carter LLC,"USCGC Lucero, FPO AP 96832",7 AM - 8 PM
233,"Cervantes, Velasquez and White","7130 Hood Roads Apt. 856, Porterchester, DE 07873",10 AM - 9 PM
234,Nelson Ltd,"02659 Richard Port, Lake Gregory, MD 44032",7 AM - 10 PM
235,"Ramsey, Spears and Keith","7774 Wallace Junction, North Leslie, OK 40987",9 AM - 8 PM
236,"Ayala, Flowers and Rivera","4681 Moore Fort Suite 696, New Ryanberg, IN 98034",10 AM - 8 PM
237,Richardson-Smith,"068 Jason Mills, Greentown, PA 94524",7 AM - 7 PM
238,Bishop Inc,"03579 Hamilton Shore, Port Richard, KY 52175",10 AM - 10 PM
239,"Wells, Ali and Tucker","PSC 3034, Box 3409, APO AE 83898",6 AM - 7 PM
240,Martin-Robinson,"6262 Timothy Gateway Apt. 896, Hooverburgh, NC 11663",9 AM - 10 PM
241,"Silva, Black and Yates","2308 John Junction Suite 851, North Monica, MN 70604",8 AM - 9 PM
242,Parker-Bender,"289 Cunningham Plaza Apt. 008, Annland, KS 98554",6 AM - 8 PM
243,Rodriguez Group,"637 Butler Cape Suite 340, New Tracyport, OH 66627",7 AM - 10 PM
244,Gibson-Livingston,"470 Nicole Fords, Lake Stephenview, WY 92526",10 AM - 7 PM
245,"Garcia, Gamble and Robinson","4710 Michelle Rapid Suite 519, Scottberg, IL 81873",9 AM - 11 PM
246,"Allen, Johnson and Dyer","7308 Wolfe Gateway, Wattschester, NJ 77663",6 AM - 7 PM
247,"Frey, Mitchell and Williams","06068 Chapman Forest, West Tyler, MD 36227",8 AM - 7 PM
248,York Group,"70393 Stephen Well Apt. 177, Gonzalezfurt, OR 45650",10 AM - 7 PM
249,Smith-Austin,"101 Anthony Valley Apt. 408, East Melissa, SD 90521",9 AM - 10 PM
250,"Allen, Wright and Lopez","63702 Sabrina Radial, Port Anthony, NV 53520",6 AM - 8 PM
251,Mack PLC,"6626 Rivera Flats, Williamtown, DC 06382",8 AM - 9 PM
252,Barnes Inc,"6537 Crystal Circles, East Danielle, LA 47236",9 AM - 9 PM
253,Fisher-Hubbard,"6224 Robert Pass Apt. 861, South Linda, GU 05434",9 AM - 10 PM
254,"Castro, Thomas and Collier","9549 Gross Harbors, Stoneside, TN 38216",9 AM - 9 PM
255,Simmons-Murphy,"007 Jennifer Club, South Craig, NM 17482",10 AM - 10 PM
256,"Thomas, Castaneda and Jones","8177 Johnson Estates, Ethanville, DE 55739",8 AM - 9 PM
257,"Young, Johnson and Peterson","1738 Rosales Stream Suite 370, East Amy, NM 43135",6 AM - 7 PM
258,Lee and Sons,"482 Carson Run Suite 693, East Kristin, VA 18085",9 AM - 9 PM
259,Gardner-Mosley,"PSC 6596, Box 2235, APO AP 41711",9 AM - 11 PM
260,"Baker, Anderson and Rodriguez","2803 Joseph Groves, Jonestown, ID 64395",10 AM - 7 PM
261,"Anderson, Guerra and Rivera","282 Michael Fall Suite 334, Reyesland, CT 18124",6 AM - 8 PM
262,"Campbell, Hayes and Young","271 Amy Lodge, South Thomasview, NM 61239",7 AM - 7 PM
263,"Trujillo, Green and Schroeder","690 Diana Ville Apt. 042, Clarkburgh, TN 66346",6 AM - 11 PM
264,"Wilson, Morales and Anderson","USNV Mayer, FPO AE 22660",7 AM - 11 PM
265,Green LLC,"31613 Lamb Park, Toddville, TN 61784",8 AM - 8 PM
266,"Cole, Glenn and Smith","0220 Davis Cliff, South Mariabury, NM 84734",10 AM - 8 PM
267,Bradley-Garcia,"0390 Fernandez Fort Suite 778, Travismouth, ND 38909",10 AM - 8 PM
268,Mccarthy LLC,"USCGC Patterson, FPO AE 25690",9 AM - 10 PM
269,Harding-Alvarez,"USS Sanders, FPO AA 00685",10 AM - 9 PM
270,Morales-Coleman,"5939 Thomas Pines, North Melissa, TX 82522",9 AM - 10 PM
271,Miller-Huerta,"0315 Joshua Roads Apt. 016, North Michael, CT 23974",8 AM - 8 PM
272,"Bradford, Kirk and Taylor","6130 Shannon Fall Suite 042, Campbellstad, FL 26203",9 AM - 11 PM
273,Moore-Chung,"762 Carol Crossing, North Travisview, NJ 37886",9 AM - 10 PM
274,"Montgomery, Saunders and Ellis","26474 Smith Lights Suite 006, West Anastad, AR 82945",10 AM - 7 PM
275,Miller-Oconnell,"5269 Kathy Mission, New Adriana, ID 64919",10 AM - 7 PM
276,Hughes-Kane,"8811 Hobbs Summit, Davistown, AR 30716",7 AM - 9 PM
277,Thompson-Clarke,"2232 Collins Port Apt. 851, East Lorimouth, AR 65465",8 AM - 8 PM
278,"Barrera, Welch and Wong","4979 Timothy Circle Apt. 729, New Patrick, OH 72743",10 AM - 11 PM
279,Kirby PLC,"872 Moreno Squares Apt. 608, North Randy, OK 67498",6 AM - 10 PM
280,"Cannon, Burns and Carter","76893 Brown Fields, Sullivanside, TX 55152",8 AM - 8 PM
281,"Davis, Fisher and Miller","65068 Whitney Glens Suite 952, South Kimberlychester, MN 49835",8 AM - 9 PM
