order_id,student_id,eatery_id,order_time,delivery_status
106,712,1882,2025-01-01 04:33:48,Pending
107,2207,233,2025-01-27 21:17:55,Pending
108,2716,1200,2025-02-22 14:07:15,Preparing
109,1153,667,2025-03-05 07:10:24,Preparing
110,1687,1175,2025-03-10 23:58:15,Out for Delivery
111,251,421,2025-02-13 01:43:53,Out for Delivery
112,1435,2749,2025-02-07 16:24:14,Preparing
113,893,1965,2025-02-05 04:48:06,Out for Delivery
114,2267,2068,2025-03-12 21:07:55,Pending
115,1624,1534,2025-02-07 16:27:55,Pending
116,1016,55,2025-02-11 15:42:18,Pending
117,2170,189,2025-01-29 04:55:02,Preparing
118,2933,990,2025-02-21 18:06:42,Out for Delivery
119,2114,2247,2025-03-11 14:09:51,Preparing
120,1872,1706,2025-01-27 00:14:55,Out for Delivery
121,2920,2023,2025-02-12 16:59:02,Out for Delivery
122,2842,2872,2025-02-04 06:31:33,Out for Delivery
123,1831,114,2025-01-04 20:08:36,Out for Delivery
124,686,2083,2025-03-01 07:36:18,Delivered
125,806,1269,2025-01-26 08:26:45,Delivered
126,2185,1850,2025-03-04 12:48:01,Preparing
127,1935,1504,2025-01-24 14:19:00,Pending
128,2026,1949,2025-01-24 16:10:36,Delivered
129,2136,847,2025-01-19 21:33:38,Delivered
130,1221,20,2025-01-28 13:55:51,Pending
131,2350,1569,2025-03-11 22:35:03,Out for Delivery
132,1146,1912,2025-02-04 04:56:27,Pending
133,585,1740,2025-03-15 12:46:53,Pending
134,2006,2245,2025-01-14 23:00:52,Out for Delivery
135,2171,2603,2025-02-23 18:48:20,Out for Delivery
136,1847,2173,2025-02-03 19:09:07,Delivered
137,337,2208,2025-02-25 03:27:11,Preparing
138,2020,1508,2025-02-14 08:28:36,Pending
139,2703,1479,2025-02-15 09:39:09,Preparing
140,1700,1882,2025-03-05 22:52:36,Pending
141,2501,820,2025-01-06 07:39:53,Preparing
142,390,1297,2025-03-08 11:59:09,Delivered
143,541,2474,2025-02-23 17:10:26,Preparing
144,2879,612,2025-03-02 06:23:45,Pending
145,1371,1562,2025-02-07 02:31:58,Delivered
146,45,1997,2025-02-18 12:10:03,Preparing
147,1727,871,2025-02-17 08:29:36,Preparing
148,1268,2743,2025-03-08 03:09:54,Delivered
149,460,42,2025-02-25 18:51:57,Pending
150,2846,1568,2025-01-09 19:49:13,Delivered
151,223,1090,2025-01-06 08:58:37,Preparing
152,420,1513,2025-02-17 08:19:19,Delivered
153,1649,2300,2025-03-04 14:01:39,Out for Delivery
154,458,725,2025-01-21 05:37:50,Pending
155,1827,1223,2025-01-02 00:06:52,Delivered
156,508,960,2025-01-16 08:54:53,Preparing
157,79,1893,2025-01-21 02:40:10,Out for Delivery
158,1577,2643,2025-01-20 05:14:40,Pending
159,1607,1740,2025-02-26 05:30:59,Pending
160,2599,115,2025-01-01 18:41:36,Pending
161,2631,317,2025-02-15 04:18:57,Delivered
162,914,1306,2025-01-14 05:49:32,Preparing
163,76,974,2025-02-02 01:41:36,Pending
164,2217,629,2025-02-21 06:40:55,Preparing
165,853,1052,2025-01-13 12:32:54,Delivered
166,1684,780,2025-03-02 13:57:25,Delivered
167,1252,2046,2025-02-06 18:28:28,Out for Delivery
168,696,2579,2025-03-13 13:50:02,Pending
169,801,1511,2025-02-27 04:33:34,Out for Delivery
170,2351,1655,2025-01-03 02:05:13,Delivered
171,1119,1862,2025-03-03 00:07:23,Out for Delivery
172,437,704,2025-01-02 23:00:55,Delivered
173,2270,1644,2025-02-07 21:11:21,Pending
174,2144,2875,2025-01-12 06:41:32,Out for Delivery
175,1697,2920,2025-03-13 17:02:19,Out for Delivery
176,2247,1071,2025-01-11 02:55:08,Preparing
177,1122,1199,2025-02-11 13:37:37,Out for Delivery
178,2756,1398,2025-01-14 21:40:04,Delivered
179,2455,2764,2025-02-07 09:03:40,Preparing
180,1870,955,2025-01-23 06:10:12,Pending
181,1482,2367,2025-01-21 19:57:06,Delivered
182,773,766,2025-02-06 15:23:25,Out for Delivery
183,2527,1398,2025-01-22 22:23:38,Pending
184,1724,295,2025-01-06 02:02:31,Preparing
185,2895,538,2025-01-12 12:42:49,Delivered
186,2166,2347,2025-01-22 08:42:32,Pending
187,2832,1795,2025-01-27 04:00:30,Delivered
188,68,683,2025-01-15 08:13:43,Out for Delivery
189,1364,2638,2025-02-26 03:03:02,Pending
190,882,2497,2025-02-18 13:41:37,Pending
191,870,1361,2025-01-15 06:31:30,Out for Delivery
192,1918,774,2025-02-19 13:42:12,Delivered
193,1755,2969,2025-01-10 06:40:51,Delivered
194,2206,291,2025-01-10 07:45:03,Pending
195,2935,2896,2025-02-17 22:02:10,Pending
196,1102,2629,2025-02-08 02:19:50,Preparing
197,1025,2408,2025-03-02 20:19:30,Pending
198,2251,180,2025-02-16 04:34:10,Delivered
199,2037,2341,2025-01-30 00:33:07,Pending
200,217,582,2025-01-06 17:47:00,Pending
201,457,1933,2025-02-01 09:51:52,Out for Delivery
202,1001,686,2025-01-13 01:46:42,Pending
203,1286,2834,2025-02-08 15:36:59,Pending
204,2963,2905,2025-01-21 08:57:13,Delivered
205,1329,953,2025-01-14 02:34:23,Preparing
206,2454,2283,2025-01-20 13:43:21,Out for Delivery
207,683,1348,2025-02-08 18:35:38,Pending
208,215,60,2025-01-11 21:34:51,Pending
209,1110,975,2025-01-08 16:21:23,Out for Delivery
210,1256,572,2025-02-01 22:22:14,Pending
211,475,1938,2025-02-02 15:08:46,Out for Delivery
212,1996,895,2025-01-05 15:24:29,Delivered
213,2875,1410,2025-01-04 14:29:44,Out for Delivery
214,1778,2678,2025-01-06 18:03:53,Preparing
215,741,2780,2025-03-08 20:30:08,Out for Delivery
216,1751,2596,2025-02-26 14:54:46,Delivered
217,2357,460,2025-02-23 19:28:16,Out for Delivery
218,1286,293,2025-03-13 22:53:00,Delivered
219,2850,1397,2025-03-12 00:51:17,Pending
220,166,1509,2025-03-15 15:41:03,Delivered
221,1451,496,2025-02-03 01:55:16,Delivered
222,71,1169,2025-01-11 17:35:33,Preparing
223,2713,2694,2025-03-02 08:53:18,Out for Delivery
224,1973,1482,2025-03-13 06:13:23,Delivered
225,1302,4,2025-02-03 10:19:47,Delivered
226,2952,1013,2025-03-16 17:17:43,Out for Delivery
227,2533,1749,2025-02-26 11:01:15,Pending
228,2466,931,2025-01-12 14:54:54,Pending
229,1094,1251,2025-02-05 02:22:48,Delivered
230,1721,192,2025-03-01 15:43:46,Preparing
231,2708,1845,2025-01-30 00:36:31,Preparing
232,1527,139,2025-02-06 01:15:46,Delivered
233,295,2044,2025-02-07 14:01:08,Out for Delivery
234,2843,164,2025-01-07 21:00:17,Delivered
235,358,2306,2025-01-26 17:55:57,Out for Delivery
236,12,446,2025-03-10 06:48:54,Delivered
237,497,1447,2025-02-28 05:59:40,Delivered
238,2776,1630,2025-02-17 03:36:15,Delivered
239,366,990,2025-03-11 09:01:45,Out for Delivery
240,2399,2544,2025-02-25 06:20:00,Pending
241,1095,739,2025-02-22 21:16:52,Preparing
242,1687,256,2025-03-10 00:27:51,Preparing
243,1877,868,2025-02-04 21:08:33,Delivered
244,2563,2028,2025-02-01 22:46:23,Pending
245,716,940,2025-02-21 15:05:14,Pending
246,2777,2843,2025-03-15 06:56:46,Out for Delivery
247,1502,574,2025-03-12 01:47:40,Delivered
248,1458,1553,2025-01-21 10:20:51,Pending
249,1114,156,2025-01-23 22:23:28,Preparing
250,695,877,2025-01-27 19:17:32,Delivered
251,71,2054,2025-02-01 05:37:43,Preparing
252,2847,2718,2025-03-03 11:20:48,Preparing
253,270,993,2025-02-12 07:51:26,Pending
254,1886,2583,2025-02-06 02:54:35,Preparing
255,1526,2731,2025-01-29 15:10:59,Out for Delivery
256,705,1894,2025-02-28 20:15:10,Pending
257,599,1645,2025-01-09 23:35:52,Pending
258,757,1368,2025-03-05 00:10:33,Delivered
259,2897,2731,2025-02-18 02:30:26,Out for Delivery
260,2841,2049,2025-01-27 15:31:16,Preparing
261,1923,814,2025-01-21 17:38:09,Preparing
262,2078,2639,2025-02-28 00:01:58,Out for Delivery
263,2395,532,2025-01-21 01:35:41,Pending
264,154,1863,2025-03-07 00:22:45,Preparing
265,2297,71,2025-02-06 00:55:05,Preparing
266,1021,2179,2025-01-01 13:49:59,Preparing
267,1701,757,2025-01-02 05:56:16,Preparing
268,1019,1632,2025-01-21 12:40:10,Pending
269,21,790,2025-02-20 09:26:47,Delivered
270,173,1431,2025-01-14 10:10:20,Preparing
271,842,2753,2025-02-26 21:20:07,Preparing
272,1577,1702,2025-01-16 13:46:49,Delivered
273,118,27,2025-03-15 12:05:52,Delivered
274,1448,52,2025-01-19 15:02:07,Delivered
275,2328,401,2025-03-04 19:43:59,Out for Delivery
276,1468,1952,2025-03-08 07:59:05,Pending
277,2697,1514,2025-03-14 06:23:14,Out for Delivery
278,278,1790,2025-03-03 17:08:03,Pending
279,34,1638,2025-02-05 08:43:29,Delivered
280,1033,1289,2025-03-09 08:54:25,Delivered
281,2273,2489,2025-02-07 16:01:20,Pending
282,586,2433,2025-01-29 03:44:05,Out for Delivery
283,1373,1917,2025-01-10 14:25:16,Delivered
284,956,2455,2025-01-03 22:43:32,Out for Delivery
285,2420,993,2025-02-12 09:23:53,Out for Delivery
286,162,1912,2025-02-15 07:23:14,Preparing
287,2528,925,2025-03-13 21:45:36,Preparing
288,2748,1118,2025-03-05 18:36:43,Delivered
289,1557,2983,2025-02-19 01:34:37,Pending
290,2840,1046,2025-01-10 19:06:13,Preparing
291,2954,2694,2025-03-05 01:44:56,Preparing
292,2697,1967,2025-01-12 22:42:17,Preparing
293,402,409,2025-01-02 17:57:42,Preparing
294,1894,363,2025-01-04 16:06:20,Preparing
295,2426,1981,2025-01-26 23:25:03,Pending
296,2995,322,2025-03-02 09:28:17,Delivered
297,1247,2354,2025-02-18 08:49:04,Delivered
298,390,1940,2025-01-12 08:40:04,Pending
299,1470,1750,2025-01-13 17:49:44,Delivered
300,1583,2843,2025-02-25 14:45:28,Pending
301,239,1155,2025-01-27 00:33:31,Preparing
302,2699,1326,2025-02-19 05:24:05,Pending
303,1092,293,2025-01-19 19:36:56,Delivered
304,2754,1612,2025-02-27 02:28:23,Preparing
305,2485,2252,2025-02-06 17:07:04,Preparing
306,496,2737,2025-02-16 02:22:15,Pending
307,1764,746,2025-03-02 07:42:03,Preparing
308,2338,1216,2025-01-15 07:52:50,Preparing
309,765,982,2025-01-09 00:30:49,Pending
310,2255,2402,2025-01-27 05:00:55,Pending
311,484,2188,2025-03-12 19:23:35,Delivered
312,2014,864,2025-02-10 23:33:03,Pending
313,2610,447,2025-01-18 23:57:00,Out for Delivery
314,2938,2648,2025-02-22 19:19:15,Pending
315,1233,1597,2025-03-02 04:03:20,Preparing
316,2835,2099,2025-02-16 19:37:33,Preparing
317,1011,1381,2025-01-21 02:51:25,Preparing
318,2488,2766,2025-03-04 14:49:09,Out for Delivery
319,1475,1477,2025-01-27 23:31:25,Pending
320,473,2597,2025-01-15 16:54:21,Pending
321,2606,888,2025-01-23 21:23:23,Delivered
322,2875,2380,2025-02-12 07:44:28,Pending
323,1915,2519,2025-03-14 01:25:11,Delivered
324,1803,482,2025-02-20 17:41:20,Pending
325,303,2040,2025-03-05 16:56:21,Out for Delivery
326,1377,1883,2025-02-20 07:31:43,Pending
327,257,2603,2025-03-07 00:23:29,Delivered
328,1635,1223,2025-02-19 08:55:33,Preparing
329,1140,2936,2025-02-27 01:41:58,Delivered
330,1787,654,2025-02-07 16:27:45,Pending
331,2344,579,2025-01-12 12:31:35,Preparing
332,497,79,2025-02-09 10:42:13,Delivered
333,141,1927,2025-01-27 09:52:48,Delivered
334,2876,933,2025-03-09 10:27:11,Preparing
335,1412,1643,2025-02-02 18:09:41,Out for Delivery
336,2299,67,2025-02-18 10:47:22,Pending
337,2771,1180,2025-02-06 22:25:09,Delivered
338,2836,1148,2025-02-12 06:50:46,Delivered
339,1934,825,2025-01-30 12:20:23,Preparing
340,204,2703,2025-02-19 04:37:26,Delivered
341,1857,3000,2025-01-11 04:53:45,Pending
342,5,1352,2025-02-28 14:27:45,Preparing
343,475,2704,2025-01-18 14:20:50,Pending
344,2568,2437,2025-02-26 23:06:41,Delivered
345,2555,1869,2025-01-07 02:11:06,Preparing
346,2699,298,2025-03-10 07:05:14,Pending
347,2157,2777,2025-01-26 13:03:28,Out for Delivery
348,1308,1725,2025-01-22 05:17:38,Pending
349,2314,1059,2025-02-10 23:52:18,Out for Delivery
350,1710,2906,2025-02-01 06:44:37,Delivered
351,2101,1073,2025-01-16 04:08:16,Delivered
352,1285,1544,2025-02-17 05:40:14,Delivered
353,80,875,2025-02-05 13:39:38,Delivered
354,8,2396,2025-01-27 11:30:23,Out for Delivery
355,1027,554,2025-02-21 10:09:34,Pending
356,628,2565,2025-02-17 16:27:23,Out for Delivery
357,420,1396,2025-01-16 22:46:37,Pending
358,1044,2105,2025-03-15 11:50:42,Preparing
359,1409,2344,2025-02-06 17:43:24,Delivered
360,2688,1410,2025-03-06 11:25:21,Delivered
361,645,1764,2025-01-26 01:47:13,Delivered
362,1444,59,2025-01-01 15:58:16,Preparing
363,2405,127,2025-01-04 13:05:34,Out for Delivery
364,2672,2482,2025-03-02 11:34:57,Pending
365,2176,1065,2025-01-25 05:24:07,Preparing
366,2626,1933,2025-03-11 18:56:40,Preparing
367,207,1499,2025-02-04 17:47:40,Out for Delivery
368,1908,2885,2025-02-19 05:42:25,Delivered
369,2613,618,2025-03-14 06:07:03,Preparing
370,37,2466,2025-02-10 11:41:27,Preparing
371,631,1794,2025-03-05 22:09:13,Preparing
372,2573,401,2025-01-14 09:48:13,Out for Delivery
373,724,2957,2025-03-02 01:29:23,Out for Delivery
374,1908,2450,2025-03-12 10:35:54,Out for Delivery
375,1311,1524,2025-01-08 11:41:25,Out for Delivery
376,530,580,2025-01-03 04:35:43,Pending
377,1140,2870,2025-01-14 17:15:08,Out for Delivery
378,2901,865,2025-02-23 22:32:01,Out for Delivery
379,791,336,2025-03-01 13:29:13,Delivered
380,1781,379,2025-02-03 06:11:38,Preparing
381,358,1963,2025-01-23 12:48:30,Preparing
382,1938,1078,2025-01-26 22:15:12,Delivered
383,2463,1941,2025-01-06 03:24:03,Delivered
384,720,871,2025-02-02 22:33:20,Out for Delivery
385,627,2154,2025-01-23 17:55:49,Delivered
386,806,1158,2025-03-10 04:49:29,Delivered
387,780,2721,2025-02-25 16:06:35,Out for Delivery
388,2163,1780,2025-02-16 10:43:48,Out for Delivery
389,447,1282,2025-03-12 13:55:04,Out for Delivery
390,2223,952,2025-03-08 09:27:37,Out for Delivery
391,1283,2122,2025-02-20 06:31:37,Pending
392,2461,2556,2025-01-12 18:32:40,Pending
393,2376,2348,2025-02-20 16:30:04,Out for Delivery
394,587,1609,2025-01-26 11:50:37,Pending
395,754,720,2025-02-27 21:43:48,Preparing
396,132,2786,2025-02-21 13:35:33,Preparing
397,2666,24,2025-01-27 08:46:19,Delivered
398,1328,2470,2025-01-15 15:12:42,Delivered
399,927,2245,2025-02-20 11:50:47,Pending
400,1138,466,2025-01-22 01:10:59,Preparing
401,238,1430,2025-03-01 03:15:41,Pending
402,2240,2663,2025-01-09 16:30:15,Preparing
403,2489,2389,2025-02-04 16:36:02,Pending
404,402,2729,2025-01-02 03:42:20,Delivered
405,1999,193,2025-01-07 17:14:47,Out for Delivery
406,2780,1383,2025-02-28 05:43:04,Preparing
407,1912,585,2025-02-16 17:00:32,Out for Delivery
408,2307,667,2025-01-19 12:46:14,Out for Delivery
409,2567,414,2025-03-09 11:13:51,Pending
410,725,158,2025-01-14 21:47:55,Preparing
411,2151,1917,2025-03-15 16:09:42,Preparing
412,1761,706,2025-02-12 19:57:25,Delivered
413,629,686,2025-01-24 15:14:22,Preparing
414,2812,557,2025-03-10 08:26:51,Pending
415,539,902,2025-01-18 04:18:39,Out for Delivery
416,2451,270,2025-01-14 06:22:28,Out for Delivery
417,2258,2752,2025-02-13 05:49:44,Pending
418,417,1421,2025-01-18 14:03:53,Out for Delivery
419,304,2552,2025-02-10 08:47:19,Pending
420,1090,47,2025-02-24 16:53:09,Out for Delivery
421,2736,2690,2025-01-21 21:23:18,Out for Delivery
422,642,502,2025-02-20 11:18:26,Delivered
423,1390,2461,2025-01-01 20:26:55,Out for Delivery
424,2940,1409,2025-02-05 02:12:39,Delivered
425,428,2533,2025-03-02 16:09:24,Preparing
426,575,418,2025-02-09 12:22:33,Preparing
427,1694,2593,2025-01-28 05:33:37,Delivered
428,2273,386,2025-01-19 19:12:11,Out for Delivery
429,491,1003,2025-01-08 22:34:41,Delivered
430,1316,2293,2025-03-16 08:42:59,Pending
431,900,2078,2025-01-26 17:08:12,Out for Delivery
432,2721,876,2025-01-17 09:43:44,Out for Delivery
433,1724,785,2025-01-16 09:07:17,Pending
434,2975,918,2025-02-14 08:22:13,Pending
435,1504,2939,2025-01-02 17:43:19,Out for Delivery
436,1147,2404,2025-01-03 08:07:54,Pending
437,1178,2048,2025-01-03 10:40:21,Delivered
438,1304,2216,2025-01-09 07:18:57,Delivered
439,25,1653,2025-03-10 01:24:28,Preparing
440,2981,438,2025-01-27 16:54:31,Preparing
441,2590,1871,2025-03-10 05:41:26,Preparing
442,2540,1516,2025-01-05 09:12:18,Pending
443,2978,1838,2025-01-27 14:07:54,Preparing
444,53,2938,2025-02-19 09:26:28,Pending
445,2726,2838,2025-03-09 04:44:30,Delivered
446,1364,344,2025-01-03 14:32:23,Pending
447,2618,1266,2025-03-08 22:05:05,Pending
448,1000,1029,2025-02-03 03:46:17,Preparing
449,884,1834,2025-03-08 14:58:15,Pending
450,2268,776,2025-02-24 19:30:59,Out for Delivery
451,2114,1620,2025-02-11 19:33:08,Delivered
452,2507,2007,2025-03-09 23:01:43,Pending
453,2427,526,2025-02-13 06:26:19,Pending
454,403,2002,2025-01-15 22:46:48,Delivered
455,226,262,2025-02-09 15:01:05,Delivered
456,1359,1436,2025-02-10 15:07:06,Out for Delivery
457,521,2946,2025-02-21 14:53:27,Out for Delivery
458,2069,964,2025-02-11 07:04:48,Pending
459,1277,1436,2025-03-11 19:57:43,Pending
460,2130,34,2025-01-06 16:19:39,Delivered
461,2183,1645,2025-02-06 00:27:21,Out for Delivery
462,240,121,2025-03-07 02:41:40,Delivered
463,1022,147,2025-02-19 02:22:56,Out for Delivery
464,793,884,2025-03-11 00:18:07,Out for Delivery
465,407,1183,2025-02-08 09:16:52,Preparing
466,2702,1245,2025-02-22 19:41:09,Delivered
467,982,2230,2025-01-15 17:20:46,Pending
468,2967,2204,2025-01-16 09:03:53,Out for Delivery
469,1561,1582,2025-02-15 04:30:07,Out for Delivery
470,2423,1419,2025-02-17 16:58:12,Delivered
471,2684,479,2025-02-22 10:33:29,Delivered
472,489,12,2025-03-05 04:37:42,Pending
473,1443,507,2025-02-22 20:53:41,Preparing
474,644,2874,2025-03-15 03:39:02,Delivered
475,1609,117,2025-01-09 17:53:36,Preparing
476,32,1001,2025-01-20 02:58:14,Delivered
477,553,633,2025-01-01 05:46:13,Preparing
478,2666,2618,2025-03-10 04:53:30,Delivered
479,1436,2487,2025-03-13 10:44:59,Out for Delivery
480,2235,652,2025-02-03 20:52:46,Preparing
481,2749,109,2025-01-04 11:52:00,Delivered
482,1063,2815,2025-02-19 09:29:18,Delivered
483,1966,1887,2025-02-23 01:14:16,Delivered
484,949,2950,2025-01-20 10:28:46,Pending
485,1208,158,2025-01-08 08:59:11,Out for Delivery
486,1222,1482,2025-01-28 18:53:55,Delivered
487,1158,234,2025-03-02 16:02:22,Delivered
488,1806,2830,2025-03-04 09:12:44,Delivered
489,696,1360,2025-01-31 01:29:07,Out for Delivery
490,336,2627,2025-01-15 19:31:33,Out for Delivery
491,2804,633,2025-01-13 21:48:02,Preparing
492,1116,1136,2025-02-15 04:47:03,Preparing
493,208,2034,2025-02-16 06:55:28,Pending
494,556,2660,2025-02-22 15:07:05,Delivered
495,2686,2909,2025-02-12 11:53:24,Preparing
496,2415,499,2025-03-09 12:22:10,Pending
497,2693,308,2025-03-12 15:50:30,Preparing
498,1910,2016,2025-02-18 18:05:40,Delivered
499,1459,2744,2025-01-12 16:07:26,Preparing
500,2817,1607,2025-03-11 22:22:31,Pending
501,2431,1660,2025-01-01 07:20:36,Pending
502,1660,1172,2025-01-31 19:31:49,Out for Delivery
503,619,1255,2025-03-08 13:59:53,Pending
504,636,1951,2025-01-31 07:27:22,Preparing
505,712,1773,2025-01-27 00:40:42,Pending
506,1218,2168,2025-01-04 11:05:15,Out for Delivery
507,2518,1267,2025-02-15 06:09:10,Delivered
508,2479,1123,2025-01-25 17:10:51,Pending
509,1323,2107,2025-02-19 06:43:25,Out for Delivery
510,1730,914,2025-02-22 13:21:37,Out for Delivery
511,2019,2374,2025-01-09 01:24:26,Delivered
512,2934,1886,2025-02-14 03:06:22,Out for Delivery
513,1262,2292,2025-02-10 03:55:28,Out for Delivery
514,2759,493,2025-01-18 18:06:00,Pending
515,397,2176,2025-02-17 04:12:11,Preparing
516,2763,1767,2025-02-08 23:27:09,Delivered
517,1712,1223,2025-03-12 08:25:22,Preparing
518,241,520,2025-01-03 23:00:17,Preparing
519,1290,1702,2025-03-10 06:30:03,Delivered
520,894,284,2025-03-12 11:28:30,Delivered
521,2515,1160,2025-02-21 16:19:15,Preparing
522,1543,1162,2025-01-12 21:25:45,Delivered
523,534,2239,2025-03-02 05:53:20,Preparing
524,1322,2023,2025-01-19 01:42:44,Delivered
525,2704,1734,2025-03-10 04:13:44,Out for Delivery
526,2081,1543,2025-01-26 19:08:42,Out for Delivery
527,24,1935,2025-03-07 04:34:56,Pending
528,1064,1091,2025-01-06 09:25:02,Out for Delivery
529,2999,690,2025-02-23 21:26:51,Pending
530,2421,1068,2025-01-12 15:22:48,Pending
531,1032,2840,2025-01-16 18:59:50,Delivered
532,1977,1545,2025-02-25 09:42:36,Out for Delivery
533,1146,1555,2025-01-11 01:31:44,Out for Delivery
534,143,936,2025-01-09 12:09:58,Pending
535,1282,2028,2025-02-27 09:27:10,Out for Delivery
536,2889,1307,2025-02-16 17:30:54,Pending
537,1420,1212,2025-02-15 13:22:39,Delivered
538,1303,2683,2025-03-05 04:49:35,Out for Delivery
539,2602,2387,2025-03-06 05:07:49,Delivered
540,539,2383,2025-02-08 19:18:11,Preparing
